TIPO_DATO;LOTE;COD_DIST;DISTRITO;COD_BARRIO;BARRIO;DIRECCION COMPLETA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;TIPO_NUMERO;NUMERO;UTM_X;UTM_Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA;MÁS INFORMACIÓN
CONTENEDOR DE ROPA;02;15;CIUDAD LINEAL;158;ATALAYA;CALLE DE MANUEL URIBE, 1;CALLE;DE;MANUEL URIBE;Número;1;443650,4794;4479504,827;40,46430594;-3,66466324;CALLE DE MANUEL URIBE, 1 Colegio Público San Benito;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;15;CIUDAD LINEAL;157;COLINA;CALLE DE NAVARRO AMANDI, 3;CALLE;DE;NAVARRO AMANDI;Número;3;444009,9965;4479092,62;40,46061689;-3,66038651;CALLE DE NAVARRO AMANDI, 3;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;05;CHAMARTIN;054;HISPANOAMERICA;PASEO DE LA HABANA, 31;PASEO;DE;LA HABANA;Número;31;441898,523;4478234,31;40,45273989;-3,68521053;PASEO DE LA HABANA, 31 Parroquia los Sagrados Corazones;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;05;CHAMARTIN;054;HISPANOAMERICA;CALLE DE SERRANO, 203;CALLE;DE;SERRANO;Número;203;442282,7426;4478253,809;40,45294231;-3,68068138;CALLE DE SERRANO, 203;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;15;CIUDAD LINEAL;156;SAN JUAN BAUTISTA;CALLE DE RAFAEL BERGAMIN, 28;CALLE;DE;RAFAEL BERGAMIN;Número;28;444043,8155;4478000,092;40,45077714;-3,65989135;CALLE DE RAFAEL BERGAMIN, 28;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;15;CIUDAD LINEAL;156;SAN JUAN BAUTISTA;CALLE DE TORRELAGUNA, 68;CALLE;DE;TORRELAGUNA;Número;68;444234,1565;4477810,875;40,44908536;-3,65763018;CALLE DE TORRELAGUNA, 68;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;15;CIUDAD LINEAL;156;SAN JUAN BAUTISTA;CALLE DE LA TORRECILLA DEL PUERTO, 6;CALLE;DE LA;TORRECILLA DEL PUERTO;Número;6;444850,7246;4477978,582;40,45063729;-3,65037419;CALLE DE LA TORRECILLA DEL PUERTO, 6;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;15;CIUDAD LINEAL;156;SAN JUAN BAUTISTA;CALLE DE LUIS CARLOS VAZQUEZ, 9;CALLE;DE;LUIS CARLOS VAZQUEZ;Número;9;444516,4127;4478519,338;40,45548645;-3,65436373;CALLE DE LUIS CARLOS VAZQUEZ, 9;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;15;CIUDAD LINEAL;155;SAN PASCUAL;CALLE DE PILAR CAVERO, 2;CALLE;DE;PILAR CAVERO;Número;2;445143,5279;4477438,512;40,44579143;-3,64687472;CALLE DE PILAR CAVERO, 2;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;15;CIUDAD LINEAL;155;SAN PASCUAL;CALLE DE CARLOTA O`NEILL, 6;CALLE;DE;CARLOTA O`NEILL;Número;6;444804,1942;4477090,727;40,44263593;-3,65084573;CALLE DE CARLOTA O`NEILL, 6;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;15;CIUDAD LINEAL;154;LA CONCEPCION;CALLE DEL ESTRECHO DE COREA, 18;CALLE;DEL;ESTRECHO DE COREA;Número;18;445058,2901;4476834,725;40,44034657;-3,64782758;"CALLE DEL ESTRECHO DE COREA, 18 Centro de Salud ""Estrecho de Corea""";"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;06;TETUAN;062;CUATRO CAMINOS;AVENIDA DE BRASIL, 7;AVENIDA;DE;BRASIL;Número;7;441165,729;4478468,626;40,45479916;-3,69387374;AVENIDA DE BRASIL, 7;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;06;TETUAN;062;CUATRO CAMINOS;AVENIDA DEL GENERAL PERON, 8;AVENIDA;DEL;GENERAL PERON;Número;8;440772,2149;4478207,989;40,45242328;-3,69849009;AVENIDA DEL GENERAL PERON, 8;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;20;SAN BLAS-CANILLEJAS;201;SIMANCAS;CALLE DE SAN ROMUALDO, 18;CALLE;DE;SAN ROMUALDO;Número;18;447155,0566;4476824,352;40,44038901;-3,62310478;CALLE DE SAN ROMUALDO, 18 Punto Limpio Fijo;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;20;SAN BLAS-CANILLEJAS;201;SIMANCAS;CALLE DE ALCALA, 450;CALLE;DE;ALCALA;Número;450;446166,0363;4476645,677;40,43871597;-3,63475069;CALLE DE ALCALA, 450;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;20;SAN BLAS-CANILLEJAS;201;SIMANCAS;CALLE DE OSIRIS, 15;CALLE;DE;OSIRIS;Número;15;447611,3753;4476919,039;40,44127088;-3,61773234;CALLE DE OSIRIS, 15;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;12;USERA;126;ZOFIO;CALLE DE SAN ELIAS, 2;CALLE;DE;SAN ELIAS;Número;2;439308,7512;4470632,389;40,38407333;-3,715025;CALLE DE SAN ELIAS, 2;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;11;CARABANCHEL;117;ABRANTES;CALLE DEL PELICANO, 4;CALLE;DEL;PELICANO;Número;4;438396,1064;4470589,673;40,38362154;-3,72577225;CALLE DEL PELICANO, 4;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;11;CARABANCHEL;114;VISTA ALEGRE;CALLE DE LA ALONDRA, 39;CALLE;DE LA;ALONDRA;Número;39;437345,6578;4471088,126;40,38803351;-3,73819593;CALLE DE LA ALONDRA, 39;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;10;LATINA;104;ALUCHE;CALLE DE OCAÑA, 22;CALLE;DE;OCAÑA;Número;22;435962,6371;4470695,581;40,38439213;-3,75444995;CALLE DE OCAÑA, 22;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;10;LATINA;103;LUCERO;CALLE DE ALMAZAN 42;CALLE;DE;ALMAZAN;Número;42;436654,8452;4473138,853;40,40645507;-3,74653848;"CALLE DE ALMAZAN 42 Centro Deportivo Municipal ""El Olivillo""";"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;144;MEDIA LEGUA;CALLE DEL ALCALDE GARRIDO JUARISTI, 17;CALLE;DEL;ALCALDE GARRIDO JUARISTI;Número;17;444370,0392;4473957,112;40,4143777;-3,65569057;CALLE DEL ALCALDE GARRIDO JUARISTI, 17;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
