Orden;Tipo Contenedor;Modelo;Lote;Distrito;Barrio;Carga;Coordenda X;Coordenada Y;Latitud;Longitud;Código Situado;Dirección
3504;Resto;R 800 CT;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Trasera;448314,439;4472689,356;40,403211349195;-3,609098937433;CT_191_015;CAMINO FUENTE DE ARRIBA, 1
3505;Resto;R 800 CT;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Trasera;448314,439;4472689,356;40,403211349195;-3,609098937433;CT_191_015;CAMINO FUENTE DE ARRIBA, 1
3506;Resto;R 800 CT;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Trasera;448314,439;4472689,356;40,403211349195;-3,609098937433;CT_191_015;CAMINO FUENTE DE ARRIBA, 1
3507;Orgánica;O 800 CT;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Trasera;448314,439;4472689,356;40,403211349195;-3,609098937433;CT_191_015;CAMINO FUENTE DE ARRIBA, 1
3508;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;SANTA EUGENIA;Carga Superior;448007,397;4470532,937;40,383765760015;-3,612541082774;CS_182_004;AVENIDA SANTA EUGENIA, 39
3509;Vidrio;V 3100 CS;3;VILLA DE VALLECAS;SANTA EUGENIA;Carga Superior;448007,397;4470532,937;40,383765760015;-3,612541082774;CS_182_004;AVENIDA SANTA EUGENIA, 39
3510;Papel-Cartón;PC 3100 CS;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Superior;448205,075;4472794,409;40,404150939892;-3,610396238961;CS_191_037;CAMINO VIEJO DE VICALVARO, 46
3511;Papel-Cartón;PC 3100 CS;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Superior;448205,075;4472794,409;40,404150939892;-3,610396238961;CS_191_037;CAMINO VIEJO DE VICALVARO, 46
3512;Vidrio;V 3100 CS;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Superior;448205,075;4472794,409;40,404150939892;-3,610396238961;CS_191_037;CAMINO VIEJO DE VICALVARO, 46
3513;Resto;R 2750 CL;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Lateral;448142,737;4475279,144;40,426531144335;-3,611333400395;CL_205_031;AVENIDA CANILLEJAS A VICALVARO, 137
3514;PMB;E 2750 CL;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Lateral;448142,737;4475279,144;40,426531144335;-3,611333400395;CL_205_031;AVENIDA CANILLEJAS A VICALVARO, 137
3515;PMB;E 2750 CL;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Lateral;448142,737;4475279,144;40,426531144335;-3,611333400395;CL_205_031;AVENIDA CANILLEJAS A VICALVARO, 137
3516;Orgánica;O 2750 CL;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Lateral;448142,737;4475279,144;40,426531144335;-3,611333400395;CL_205_031;AVENIDA CANILLEJAS A VICALVARO, 137
3517;Orgánica;O 2750 CL;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Lateral;448142,737;4475279,144;40,426531144335;-3,611333400395;CL_205_031;AVENIDA CANILLEJAS A VICALVARO, 137
3518;Papel-Cartón;PC 3100 CS;2;HORTALEZA;VALDEFUENTES;Carga Superior;448090,786;4482834,076;40,494587025162;-3,612563701062;CS_166_108;CALLE CESAR CORT BOTI, 7
3519;Vidrio;V 3100 CS;2;HORTALEZA;VALDEFUENTES;Carga Superior;448090,786;4482834,076;40,494587025162;-3,612563701062;CS_166_108;CALLE CESAR CORT BOTI, 7
3520;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448181,787;4469171,911;40,371515547928;-3,610375992119;CS_183_166;CALLE BARRANCO DEL NOVILLO, 29
3521;Vidrio;V 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448181,787;4469171,911;40,371515547928;-3,610375992119;CS_183_166;CALLE BARRANCO DEL NOVILLO, 29
3522;Papel-Cartón;PC 3100 CS;2;HORTALEZA;VALDEFUENTES;Carga Superior;448135,529;4482199,611;40,488874231813;-3,611983804800;CS_166_193;AVENIDA JUAN ANTONIO SAMARANCH, 30
3523;Papel-Cartón;PC 3100 CS;2;HORTALEZA;VALDEFUENTES;Carga Superior;448135,529;4482199,611;40,488874231813;-3,611983804800;CS_166_193;AVENIDA JUAN ANTONIO SAMARANCH, 30
3524;Vidrio;V 3100 CS VACRI;2;HORTALEZA;VALDEFUENTES;Carga Superior;448135,529;4482199,611;40,488874231813;-3,611983804800;CS_166_193;AVENIDA JUAN ANTONIO SAMARANCH, 30
3525;Resto;R 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448105,171;4473451,028;40,410059971582;-3,611627075029;CL_191_102;CALLE CORDOVIN, 5
3526;PMB;E 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448105,171;4473451,028;40,410059971582;-3,611627075029;CL_191_102;CALLE CORDOVIN, 5
3527;Orgánica;O 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448105,171;4473451,028;40,410059971582;-3,611627075029;CL_191_102;CALLE CORDOVIN, 5
