TIPO DATO;UBICACIÓN;COD_DISTRITO;DISTRITO;COD_BARRIO;BARRIO;DIRECCIÓN COMPLETA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;TIPO_NÚMERO;NÚMERO;UTM X;UTM Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA;DÍA_SEMANA;OBSERVACIONES;RESIUDOS ADMISIBLES
Punto limpio móvil 24 horas;Vía pública;19;Vicálvaro;194;El Cañaveral;Avenida de Miguel Delibes, 72;Avenida;De;Miguel Delibes;número;72;452479,72;4472870,92;40,40509523;-3,561177292;"Avenida de Miguel Delibes, 72 c/v Mario Moreno ""Cantinflas";Viernes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;21;Barajas;212;Aeropuerto;Calle de Ayerbe, 11;Calle;De;Ayerbe;número;11;450957,65;4480112,88;40,47027983;-3,578528382;Calle de Ayerbe, 11;Sábado;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Santa Genoveva ;15;Ciudad Lineal;151;Ventas;Avenida de las Trece Rosas, 9;Avenida;De las;Trece Rosas;número;9;445102,86;4475280,00;40,42633966;-3,647287196;Avenida de las Trece Rosas, 1 c/v Santa Genoveva;Sábado;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Villaverde Alto;17;Villaverde;171;Villaverde Alto - Casco Histórico de Villaverde;Paseo de los Ferroviarios, 37;Paseo;De los;Ferroviarios;número;37;439206,45;4466480,91;40,34665176;-3,715868306;Paseo de los Ferroviarios esquina Encarnación del Pino;Sábado;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;19;Vicálvaro;194;El Cañaveral;Avenida de Blas de Lezo, 22;Avenida;De;Blas de Lezo;número;22;453103,93;4473122,00;40,40741225;-3,552696007;Avenida de Blas de Lezo,  c/v Cerro del Monte ;Sábado;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de avenida de Asturias;6;Tetuán;064;Almenara;Avenida de Asturias, 4;Avenida;De;Asturias;número;4;441294,56;4479912,74;40,46779157;-3,692420967;Avenida de Asturias, 4;Domingo;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;16;Hortaleza;166;Valdefuentes;Calle del  Principe Carlos;Calle;Del;Principe Carlos;número;23;444350,96;4482772,08;40,4937238;-3,656703777;Calle del  Principe Carlos, 23  esquina  Americo Castro (Centro Salud Sanchinarro);Domingo;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de la colonia Marconi ;17;Villaverde;171;Villaverde Alto - Casco Histórico de Villaverde;Calle de San Eustaquio, 26;Calle;De;San Eustaquio;número;26;440431,87;4464880,97;40,3322563;-3,701256432;Calle de San Eustaquio, 26;Domingo;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;19;Vicálvaro;194;El Cañaveral;Calle de la Casa de Tilly, 38;Calle;De la;Casa de Tilly;número;38;453615,92;4472442,79;40,40131163;-3,546628998;Calle de la Casa de Tilly, 38  esquina Ferenc Puskas ;Domingo;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Aragoneses;13;Puente de Vallecas;134;Palomeras Sureste;Calle  Miguel Hernandez, 90;Calle;Null;Miguel Hernandez;número;90;445389,06;4470246,91;40,38102153;-3,643362198;Calle Miguel Hernandez, 90 esquina calle Aragoneses ;Lunes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Camino de las Cruces;11;Carabanchel;116;Buenavista;Camino de las Cruces, 18;Camino;de las;Cruces;número;18;435858,64;4469616,85;40,37466656;-3,755566523;Camino de las Cruces, 18;Lunes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de San Román del Valle;20;San Blas-Canillejas;204;Arcos;Calle de Arcos de Jalón, 20  San Román del Valle  ;Calle;de; Arcos de Jalón;número;20;447246,05;4474621,95;40,42055431;-3,621849154;Calle de Arcos de Jalón, 20  San Román del Valle  ;Martes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
